parameter_name,unit,business_meaning,distribution_type,low,mode,high,source_type,source_reference,reason_for_range,owner,last_updated,evidence_ids,chosen_range_or_value,median,p95,value
new_capability_benefit_ramp_months,months,Time needed for the new capability to ramp from launch to full effect.,tri,4.0,7.0,10.0,synthetic_case_assumption,"Portfolio assumption for controlled rollout, tuning, and trust-building after launch.",Avoids treating a new capability as instantly mature once it ships.,Tomasz Solis,2026-04-05,[],4.0 / 7.0 / 10.0,,,
new_capability_cost_overrun_multiplier,multiplier,Delivery-cost multiplier applied to the new-capability upfront cost.,tri,1.0,1.2,1.5,synthetic_case_assumption,Portfolio assumption for higher delivery variance on a new operational capability.,Makes the new capability pay for the extra complexity it introduces.,Tomasz Solis,2026-04-05,[],1.0 / 1.2 / 1.5,,,
new_capability_launch_delay_months,months,Time before the new capability begins producing production benefits.,tri,4.0,7.0,10.0,elicited_range,Synthetic delivery estimate for a new fraud-prevention capability with integration work.,Reflects the longer path from build to trusted production value for a new capability.,Tomasz Solis,2026-04-05,[],4.0 / 7.0 / 10.0,,,
new_capability_regression_prob_multiplier,probability_multiplier,Relative release-risk multiplier for the new-capability option.,constant,,,,synthetic_case_assumption,Portfolio assumption that the new capability adds the most operational complexity.,Keeps the new capability from looking like free upside.,Tomasz Solis,2026-04-05,[],2.5,,,2.5
new_capability_upfront_cost_eur,eur,One-time investment required to build the new capability.,constant,,,,synthetic_case_assumption,Synthetic budget line for a new capability with model and integration work.,Makes the option clearly more ambitious and harder to justify.,Tomasz Solis,2026-04-05,[],1200000.0,,,1200000.0
new_capability_uplift,relative_value_uplift,Incremental value uplift created by the new capability on successful volume.,tri,0.05,0.08,0.15,synthetic_case_assumption,Portfolio assumption for fraud-prevention upside in a high-variance build.,Allows upside while still forcing the option to earn back delivery complexity.,Tomasz Solis,2026-04-05,[],0.05 / 0.08 / 0.15,,,
regression_event_cost_eur,eur_per_event,Severity of one regression event when it happens.,lognormal,,,,illustrative_benchmark,Synthetic heavy-tail incident-cost assumption for a revenue-critical product flow.,Gives the release-risk model a visible tail instead of collapsing it into expected cost.,Tomasz Solis,2026-04-05,[],median 150000.0 / p95 300000.0,150000.0,300000.0,
regression_event_prob,event_probability,Baseline probability that a shipped option triggers a regression event in one simulated world.,tri,0.05,0.15,0.25,elicited_range,Synthetic release-risk range for product changes touching critical flows.,Wide enough to keep downside tails visible without making every option catastrophically unsafe.,Tomasz Solis,2026-04-05,[],0.05 / 0.15 / 0.25,,,
stabilize_core_annual_maintenance_cost_eur,eur_per_year,Ongoing annual cost of supporting the stabilized core.,constant,,,,synthetic_case_assumption,Portfolio assumption for follow-on maintenance after the main refactor.,Keeps the option from looking like a one-off cost with no carry.,Tomasz Solis,2026-04-05,[],30000.0,,,30000.0
stabilize_core_benefit_ramp_months,months,Time needed for the stabilize-core option to reach full operational effect after launch.,tri,3.0,6.0,9.0,synthetic_case_assumption,Portfolio rollout assumption for progressive remediation and validation.,Avoids granting full reliability recovery from the first month after release.,Tomasz Solis,2026-04-05,[],3.0 / 6.0 / 9.0,,,
stabilize_core_cost_overrun_multiplier,multiplier,Delivery-cost multiplier applied to the stabilize-core upfront cost.,tri,1.0,1.15,1.35,synthetic_case_assumption,Portfolio assumption for refactor delivery risk in a critical platform surface.,Lets the stability program pay for schedule and coordination complexity when it slips.,Tomasz Solis,2026-04-05,[],1.0 / 1.15 / 1.35,,,
stabilize_core_launch_delay_months,months,Time before the stabilize-core investment begins producing production benefits.,tri,3.0,5.0,8.0,elicited_range,Synthetic delivery estimate for a multi-quarter checkout hardening program.,Captures schedule risk without assuming the refactor slips indefinitely.,Tomasz Solis,2026-04-05,[],3.0 / 5.0 / 8.0,,,
stabilize_core_regression_prob_multiplier,probability_multiplier,Relative release-risk multiplier for the stabilize-core option.,constant,,,,synthetic_case_assumption,Portfolio baseline for a high-touch refactor.,Treats the core refactor as the release-risk baseline.,Tomasz Solis,2026-04-05,[],1.0,,,1.0
stabilize_core_upfront_cost_eur,eur,One-time investment required to stabilize the core flow.,constant,,,,synthetic_case_assumption,Synthetic budget line for a major checkout refactor.,Chosen as a large but plausible spend for a two-year platform program.,Tomasz Solis,2026-04-05,[],800000.0,,,800000.0
stabilize_failure_reduction,share_of_failure_removed,Share of baseline failure exposure removed by the core-stability option.,tri,0.4,0.6,0.8,elicited_range,Synthetic engineering judgment for the scope of a checkout hardening program.,Broad enough to reflect uncertainty in refactor effectiveness across legacy paths.,Tomasz Solis,2026-04-05,[],0.4 / 0.6 / 0.8,,,
value_per_success_eur,eur_per_success,Total economic value created when one unit succeeds.,tri,28.0,35.0,45.0,illustrative_benchmark,Synthetic unit-value range for a mid-market commerce flow.,Keeps the same success-value term available to both recovery and uplift economics.,Tomasz Solis,2026-04-05,[],28.0 / 35.0 / 45.0,,,
